date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,12,6,0.0,8.7,2,39,01:01 PM,No moonset,09:04 AM,06:13 PM,4,8,8,8,9,19,74,0.0,1031,12,10,132,5,vigo
2020-01-02,12,6,0.0,6.9,2,45,01:24 PM,12:29 AM,09:04 AM,06:14 PM,4,7,9,7,17,48,73,0.1,1028,12,10,147,10,vigo
2020-01-03,14,9,0.0,8.7,3,52,01:48 PM,01:28 AM,09:04 AM,06:14 PM,8,11,11,11,11,55,83,0.0,1033,14,10,149,6,vigo
2020-01-04,14,7,0.0,8.7,4,59,02:11 PM,02:27 AM,09:04 AM,06:15 PM,7,9,10,9,11,3,85,0.0,1035,14,10,82,6,vigo
2020-01-05,13,6,0.0,8.7,3,66,02:36 PM,03:28 AM,09:04 AM,06:16 PM,5,8,9,8,13,2,77,0.0,1030,13,10,147,7,vigo
