date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,11,1,0.0,6.9,3,39,01:30 PM,12:00 AM,09:31 AM,06:46 PM,-4,5,5,5,5,15,58,0.0,1031,11,10,237,3,villarreal
2020-01-02,12,1,0.0,8.7,3,45,01:54 PM,12:59 AM,09:31 AM,06:47 PM,-4,6,7,6,7,9,55,0.0,1030,12,10,254,4,villarreal
2020-01-03,9,2,0.0,6.9,2,52,02:17 PM,01:57 AM,09:31 AM,06:48 PM,-3,4,6,4,12,41,59,0.0,1031,9,10,273,7,villarreal
2020-01-04,7,-0,0.0,5.2,1,59,02:41 PM,02:56 AM,09:31 AM,06:49 PM,0,1,3,1,11,35,84,0.0,1033,7,10,224,7,villarreal
2020-01-05,9,-1,0.0,8.7,2,66,03:08 PM,03:56 AM,09:31 AM,06:50 PM,-2,3,4,3,5,0,75,0.0,1030,9,10,201,3,villarreal
