date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,11,1,0.0,6.9,2,39,01:33 PM,No moonset,09:38 AM,06:42 PM,3,4,6,4,9,25,85,0.0,1032,11,9,241,5,pamplona
2020-01-02,9,1,0.0,6.9,3,45,01:56 PM,12:59 AM,09:38 AM,06:43 PM,1,3,5,3,10,20,79,0.0,1029,9,10,156,6,pamplona
2020-01-03,11,2,0.0,8.7,3,52,02:18 PM,01:59 AM,09:38 AM,06:44 PM,2,5,6,5,13,19,78,0.0,1032,11,10,317,8,pamplona
2020-01-04,9,4,0.0,5.2,2,59,02:42 PM,02:58 AM,09:38 AM,06:45 PM,4,3,6,3,21,56,89,0.1,1035,9,8,346,14,pamplona
2020-01-05,10,2,0.0,8.7,3,66,03:07 PM,03:59 AM,09:38 AM,06:46 PM,1,3,5,3,15,19,80,0.0,1032,10,10,292,9,pamplona
