date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,13,11,0.0,8.7,4,39,01:16 PM,No moonset,09:18 AM,06:32 PM,8,12,13,12,7,15,71,0.0,1031,13,10,186,6,barcelona
2020-01-02,13,10,0.0,6.9,3,45,01:40 PM,12:44 AM,09:18 AM,06:33 PM,7,12,12,12,9,35,73,0.0,1030,13,10,284,7,barcelona
2020-01-03,14,10,0.0,8.7,4,52,02:03 PM,01:43 AM,09:18 AM,06:33 PM,5,11,12,11,11,19,65,0.0,1030,14,10,245,8,barcelona
2020-01-04,15,8,0.0,8.7,4,59,02:27 PM,02:41 AM,09:18 AM,06:34 PM,4,12,13,12,10,9,53,0.0,1031,15,10,269,8,barcelona
2020-01-05,14,7,0.0,8.7,4,66,02:53 PM,03:42 AM,09:18 AM,06:35 PM,5,10,12,10,12,1,59,0.0,1029,14,10,199,10,barcelona
