date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,10,4,0.0,6.9,2,39,01:44 PM,12:14 AM,09:46 AM,06:59 PM,-1,7,7,7,3,18,58,0.0,1031,10,10,168,2,valladolid
2020-01-02,9,3,0.0,5.3,2,45,02:08 PM,01:13 AM,09:46 AM,07:00 PM,-1,5,6,5,8,40,62,0.0,1030,9,10,164,4,valladolid
2020-01-03,10,3,0.0,8.7,2,52,02:31 PM,02:11 AM,09:46 AM,07:01 PM,2,4,6,4,11,36,77,0.0,1033,10,10,138,6,valladolid
2020-01-04,9,2,0.0,8.7,3,59,02:55 PM,03:10 AM,09:46 AM,07:01 PM,2,2,5,2,16,12,83,0.0,1036,9,10,46,10,valladolid
2020-01-05,10,1,0.0,8.7,3,66,03:21 PM,04:10 AM,09:46 AM,07:02 PM,1,3,5,3,12,5,78,0.0,1031,10,10,85,7,valladolid
