date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,26,23,0.0,11.0,5,39,12:22 PM,No moonset,07:40 AM,06:41 PM,22,27,27,25,26,35,84,0.8,1012,26,10,117,17,palma_de_mallorca
2020-01-02,27,23,0.0,11.0,5,45,12:56 PM,12:25 AM,07:40 AM,06:41 PM,21,27,27,25,40,14,79,0.0,1009,27,10,134,26,palma_de_mallorca
2020-01-03,25,24,0.0,11.0,6,52,01:31 PM,01:13 AM,07:40 AM,06:42 PM,21,27,27,25,24,13,83,0.0,1012,25,10,185,16,palma_de_mallorca
2020-01-04,24,23,0.0,5.5,5,59,02:05 PM,02:01 AM,07:40 AM,06:43 PM,20,26,26,24,47,78,79,15.6,1022,24,8,334,32,palma_de_mallorca
2020-01-05,23,19,0.0,5.5,5,66,02:43 PM,02:50 AM,07:41 AM,06:43 PM,18,24,24,22,27,72,77,4.1,1025,23,10,126,19,palma_de_mallorca
