date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,17,8,0.0,8.7,4,39,01:45 PM,12:24 AM,09:39 AM,07:17 PM,7,11,12,11,10,7,74,0.0,1031,17,10,110,6,sevilla
2020-01-02,17,9,0.0,8.7,4,45,02:11 PM,01:21 AM,09:39 AM,07:17 PM,8,12,12,12,9,8,77,0.0,1030,17,10,135,5,sevilla
2020-01-03,15,9,0.0,5.3,3,52,02:37 PM,02:17 AM,09:39 AM,07:18 PM,8,12,12,12,7,48,80,0.0,1032,15,10,201,4,sevilla
2020-01-04,15,8,0.0,8.7,4,59,03:04 PM,03:14 AM,09:39 AM,07:19 PM,7,10,11,10,14,2,75,0.0,1031,15,10,41,9,sevilla
2020-01-05,16,7,0.0,8.7,4,66,03:32 PM,04:11 AM,09:39 AM,07:20 PM,7,10,11,10,15,1,76,0.0,1029,16,10,50,9,sevilla
