date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,17,4,0.0,8.7,4,39,01:35 PM,12:15 AM,09:28 AM,07:08 PM,3,10,11,10,2,1,63,0.0,1031,17,10,177,1,granada
2020-01-02,16,4,0.0,8.7,4,45,02:01 PM,01:12 AM,09:29 AM,07:08 PM,2,10,10,10,3,2,62,0.0,1031,16,10,284,2,granada
2020-01-03,15,5,0.0,7.0,4,52,02:27 PM,02:07 AM,09:29 AM,07:09 PM,2,10,10,10,6,24,62,0.0,1031,15,10,216,3,granada
2020-01-04,14,4,0.0,8.7,4,59,02:54 PM,03:04 AM,09:29 AM,07:10 PM,4,9,9,9,5,15,76,0.0,1031,14,10,159,3,granada
2020-01-05,15,3,0.0,8.7,4,66,03:23 PM,04:01 AM,09:29 AM,07:11 PM,4,9,9,9,3,2,76,0.0,1029,15,10,164,2,granada
